GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vulnado,com.scalesec.vulnado,LinksController,6,3,0,0,2,1,2,1,2,1
vulnado,com.scalesec.vulnado,VulnadoApplication,6,3,0,0,3,1,1,1,1,1
vulnado,com.scalesec.vulnado,LinkLister,72,0,8,0,16,0,7,0,3,0
vulnado,com.scalesec.vulnado,CowController,3,3,0,0,1,1,1,1,1,1
vulnado,com.scalesec.vulnado,LoginResponse,6,0,0,0,1,0,1,0,1,0
vulnado,com.scalesec.vulnado,Cowsay,80,0,2,0,14,0,3,0,2,0
vulnado,com.scalesec.vulnado,LoginRequest,3,0,0,0,1,0,1,0,1,0
vulnado,com.scalesec.vulnado,ServerError,4,0,0,0,2,0,1,0,1,0
vulnado,com.scalesec.vulnado,Postgres,204,0,2,0,65,0,7,0,6,0
vulnado,com.scalesec.vulnado,CommentRequest,3,0,0,0,1,0,1,0,1,0
vulnado,com.scalesec.vulnado,Comment,199,0,8,0,49,0,9,0,5,0
vulnado,com.scalesec.vulnado,Unauthorized,4,0,0,0,2,0,1,0,1,0
vulnado,com.scalesec.vulnado,User,126,0,2,0,35,0,5,0,4,0
vulnado,com.scalesec.vulnado,CommentsController,15,3,0,0,4,1,3,1,3,1
vulnado,com.scalesec.vulnado,BadRequest,4,0,0,0,2,0,1,0,1,0
vulnado,com.scalesec.vulnado,LoginController,24,3,2,0,4,1,2,1,1,1
